Actor1Name,Sector
TELEPHONE AND DATA SYSTEMS INC,Telecommunications Services
TENNESSEE VALLEY AUTHORITY,Health Care
TEXTRON,Industrials
THE ADVISORY BOARD COMPANY,Industrials
TIER TECHNOLOGIES,Information Technology
TIME WARNER CABLE,Consumer Discretionary
TIME WARNER INC,Consumer Discretionary
TRACTOR SUPPLY COMPANY,Consumer Discretionary
TREX COMPANY,Materials
UNION PACIFIC,Industrials
UNITED STATES CELLULAR CORPORATION,Telecommunications Services
URBAN OUTFITTERS,Consumer Discretionary
US AIRWAYS,Consumer Discretionary
VERIZON,Telecommunications Services
VIACOM,Consumer Discretionary
VIRGIN MEDIA,Industrials
WAL MART STORES,Consumer Staples
WALTER ENERGY,Materials
WASHINGTON POST COMPANY,Consumer Discretionary
WATTS WATER TECHNOLOGIES,Industrials
WEIS MARKETS INC,Consumer Staples
WELLS FARGO,Financials
WESCO INTERNATIONAL,Industrials
WESTELL TECHNOLOGIES INC,Telecommunications Services
WEYERHAEUSER COMPANY,Real Estate
WHITING PETROLEUM,Energy
WHOLE FOODS MARKET,Consumer Staples
WILLIAMS SONOMA,Energy
WYNN RESORTS,Consumer Discretionary
XCEL ENERGY,Utilities
XEROX,Information Technology
